text,label,notes
"Should I pull for Furina if I already have Yelan and Xingqiu? I mainly use Hu Tao and Hyperbloom teams, so I'm not sure if she would improve my account.",gameplay_advice,Specific character pull advice based on existing account composition and playstyle
"For Nahida, is Elemental Mastery more important than Crit Rate and Crit Damage? I'm trying to build her for a Hyperbloom team with Kuki.",gameplay_advice,Specific character build advice based on intended team composition
I think Furina's story works because her performance as an Archon reflects the pressure of being forced into a role. Her behavior during the Fontaine Archon Quest makes more sense when you see it as survival rather than arrogance.,lore_analysis,Makes a specific claim about Furina's character with supporting reasoning based on in-game events
The Abyss Order's goal seems connected to the idea that Teyvat's current order is artificial. Several quests suggest that the world's history has been rewritten or hidden from ordinary people.,lore_analysis,Makes a specific claim about the Abyss Order's motivations with supporting evidence from quests
The new event is boring. I don't understand why they keep making events like this.,reaction_opinion,Simple complaint about event design
This banner is terrible. I'm skipping everything until the next region.,reaction_opinion,Reaction to banner content - personal opinion without structured argument
"Arlecchino gets too much Glaze, appreciate others some for a change. Jean and Xianyun taking care of kids >>>> Arlecchino with kids",reaction_opinion,Hot take opinion with no supporting argument
The fact that Ei locked in for one second to become one of the greatest engineers in Teyvat's history and then never again is so funny to me,reaction_opinion,Observation/reaction - humorous take
"I miss those days when reactions used to be among elements and not characters. Do you think they should've created a new element and capitalized on that throughout Nod Krai and Snezhnaya by creating new reactions with existing elements (Sumeru approach) or are you okay with the current approach of changing existing reactions but locking them behind specific 5 star characters? Or third approach, don't change anything just create new shiny characters for existing reactions?",reaction_opinion,Edge case - asks a question about game design but is primarily expressing nostalgia/frustration; no structured argument
"If you think about it, Durin is the most Genshin character to ever Genshin, every other character's identity you can explain to a non player but the concept of Durin is locked behind so many Teyvat terms and conditions lmao. I realised this problem when my non player friend was looking at my characters, and I could give a description of all of them without using Genshin terms except for durin",lore_analysis,Makes a specific claim about Durin with a concrete supporting observation (non-player test)
"TIL Tighnari Is The Only Genshin Character So Far Designed by an Outsourced Artist. And that artist was the Japanese illustrator pako, who also designed a bunch of characters across the Fate franchise. Honestly, back then Hoyo's 3D model didn't fully do justice to the vibrancy and uniqueness of pako's original 2D design. I think that's partly why a lot of people felt Tighnari looked kinda messy or out of place when he first came out. If Tighnari had released during the Natlan era, when character models started becoming much more detailed and visually complex, things honestly might have turned out differently. But with how Genshin character designs have been getting more criticism lately, especially people saying designs are becoming too same-y, I wonder if Hoyo would ever give outside artists another shot. Personally, I really liked Tighnari's design back then because it felt genuinely unique compared to the rest of the cast. I'd love to see the game keep experimenting more and give us more characters with bold, unconventional designs that stand out from the crowd.",lore_analysis,Shares a factual piece of game development info and reasons about its implications - qualifies as lore/design analysis with supporting reasoning
my account is now tainted in greed. My first welkin and it feels so dirty,reaction_opinion,Pure emotional reaction to purchasing welkin moon
I feel so dirty! For very first time after 5 years of playing I bought a welkin moon blessing! Can you blame me? Each fonkin new patch is drier than the last one.,reaction_opinion,Emotional reaction/complaint about game content and spending
